project_id,slug,forked_from,fork,is_fork,license,default_branch,language,created_at,updated_at,num_core,num_commit,num_committer,num_commit_total,num_committer_total,num_star_GHT,num_star_GH,num_download,reverse_dependency_count,first_commit_date,age,num_issue,num_issue_total,num_closed,num_closed_total,num_external,num_external_total,num_pr,num_pr_total,project_type,size,size_GH,earning_last9months,total_earning,tip4commit,salt,flattr,patreon,paypal,bountysource,tidelift,kickstarter,opencollective,liberapay,tip4commit_sha,tip4commit_date,tip4commit_url,salt_sha,salt_date,salt_url,flattr_sha,flattr_date,flattr_url,patreon_sha,patreon_date,patreon_url,paypal_sha,paypal_date,paypal_url,bountysource_sha,bountysource_date,bountysource_url,tidelift_sha,tidelift_date,tidelift_url,kickstarter_sha,kickstarter_date,kickstarter_url,opencollective_sha,opencollective_date,opencollective_url,liberapay_sha,liberapay_date,liberapay_url
107628823,alexandrecbl/pwa,,0,FALSE,"{'url': 'https://api.github.com/licenses/mit', 'name': 'MIT License', 'key': 'mit', 'node_id': 'MDc6TGljZW5zZTEz', 'spdx_id': 'MIT'}",master,JavaScript,2018-08-22T20:17:53Z,2018-08-22T20:19:37Z,0,0,0,252,0,0,0,,,,,0,0,0,0,0,0,0,0,USR,4653935,3991,189,419,0,0,0,0,0,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,bd4606b6540de92d0b5c818fd7c7a4a7eea6426b,10/12/2017 10:54,https://opencollective.com/react-pwa,,,
125758794,Thinking7/tips,,0,FALSE,"{'url': 'https://api.github.com/licenses/apache-2.0', 'name': 'Apache License 2.0', 'key': 'apache-2.0', 'node_id': 'MDc6TGljZW5zZTI=', 'spdx_id': 'Apache-2.0'}",master,PHP,2019-02-12T03:04:33Z,2019-02-12T09:54:33Z,1,1,1,1,1,1,1,,,2/12/2019 3:05,157,0,0,0,0,0,0,0,0,USR,9041621,2210,0,0,0,0,0,0,0,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,931e834d5194d1d94f984f373147255ff798b50f,2/12/2019 11:05,https://opencollective.com/easy-tips,,,
64484213,goby-lang/goby,,134,FALSE,"{'url': 'https://api.github.com/licenses/mit', 'name': 'MIT License', 'key': 'mit', 'node_id': 'MDc6TGljZW5zZTEz', 'spdx_id': 'MIT'}",master,Go,2017-02-08T09:23:33Z,2019-07-18T23:19:08Z,3,131,6,2622,20,1675,2884,,,5/10/2017 10:43,800,7,266,8,210,2,74,37,433,ORG,14915461,6265,115,412,0,0,0,0,0,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,28900a3cba5fc2cff8aee930159a62f7b6553962,5/30/2017 0:22,https://opencollective.com/goby,,,
53177064,sous-chefs/ossec,,72,FALSE,"{'url': 'https://api.github.com/licenses/apache-2.0', 'name': 'Apache License 2.0', 'key': 'apache-2.0', 'node_id': 'MDc6TGljZW5zZTI=', 'spdx_id': 'Apache-2.0'}",master,Ruby,2012-03-14T18:36:12Z,2019-07-03T07:44:17Z,4,21,3,183,7,5,42,,,1/6/2017 18:34,923,0,31,5,23,0,26,8,38,ORG,289831,185,445,445,0,0,0,0,0,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,5ac2ceda4dc180e8d11387a7419817f88bfe9102,5/8/2019 16:21,https://opencollective.com/sous-chefs,,,
82614677,ivanceras/diwata,,8,FALSE,"{'url': 'https://api.github.com/licenses/apache-2.0', 'name': 'Apache License 2.0', 'key': 'apache-2.0', 'node_id': 'MDc6TGljZW5zZTI=', 'spdx_id': 'Apache-2.0'}",master,Rust,2017-12-08T17:15:42Z,2019-07-19T07:04:03Z,1,170,1,725,1,253,335,,,12/8/2017 19:16,587,2,13,1,7,2,11,0,2,USR,5440561,4628,0,0,0,0,0,1,0,0,0,0,1,0,,,,,,,,,,99a3c354fc2ec2c74aca941f3a7741dd4d67600e,1/22/2018 18:47,https://www.patreon.com/ivanceras,,,,,,,,,,,,,7f77fe8b7bc5177430f4b0ce3e89b5691765d58f,7/3/2018 8:58,https://opencollective.com/diwata,,,
66005752,gnu-mcu-eclipse/eclipse-plugins,,85,FALSE,"{'url': 'https://api.github.com/licenses/epl-1.0', 'name': 'Eclipse Public License 1.0', 'key': 'epl-1.0', 'node_id': 'MDc6TGljZW5zZTc=', 'spdx_id': 'EPL-1.0'}",develop,C,2015-08-17T16:21:18Z,2019-07-18T06:17:02Z,1,11,3,1662,5,166,434,,,5/30/2017 17:37,780,26,152,11,99,25,112,4,10,ORG,102069853,50471,0,0,0,0,0,0,0,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,77620a83531c2441e3442016a87efc96f163530e,2/28/2018 13:38,https://opencollective.com/gnu-mcu-eclipse,,,
123332354,Andreezw/Tablero,,0,FALSE,"{'url': 'https://api.github.com/licenses/gpl-3.0', 'name': 'GNU General Public License v3.0', 'key': 'gpl-3.0', 'node_id': 'MDc6TGljZW5zZTk=', 'spdx_id': 'GPL-3.0'}",master,JavaScript,2019-01-17T15:51:40Z,2019-07-18T17:47:35Z,0,1,0,1,0,0,1,,,,,0,0,0,0,0,0,0,0,USR,104857795,31834,190,620,0,0,0,0,0,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,8363cb0743fd4ec84eb0b3035d5c0bf8e62e538e,1/17/2019 10:54,https://opencollective.com/cboard,,,
128278116,micaeloliveira/gatsby-starter-lumen,,0,FALSE,"{'url': 'https://api.github.com/licenses/mit', 'name': 'MIT License', 'key': 'mit', 'node_id': 'MDc6TGljZW5zZTEz', 'spdx_id': 'MIT'}",master,JavaScript,2019-03-02T05:07:12Z,2019-03-02T05:38:08Z,1,179,1,314,1,0,0,,,3/2/2019 5:22,139,0,0,0,0,0,0,0,0,USR,21802569,16970,10,10,0,0,0,0,0,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,486b29ef03ca0b94dc304375dcc9a78d6680d144,1/22/2019 1:13,https://opencollective.com/lumen,,,
133779465,2502302255/Li-rsshub,,0,FALSE,"{'url': 'https://api.github.com/licenses/mit', 'name': 'MIT License', 'key': 'mit', 'node_id': 'MDc6TGljZW5zZTEz', 'spdx_id': 'MIT'}",master,JavaScript,2019-04-26T12:45:04Z,2019-04-26T13:10:14Z,0,1110,0,1635,0,0,0,,,,,0,0,0,0,0,0,0,0,USR,5280242,2875,716.13,1013.11,0,0,0,1,0,0,0,0,1,0,,,,,,,,,,be3ce1740143c3a515f1d268d033928a05109d4c,5/16/2018 0:14,https://www.patreon.com/DIYgod,,,,,,,,,,,,,01f13f43a97c6467dd40903f09f15ac4b4f8be0f,4/24/2018 14:18,https://opencollective.com/static,,,
10386240,asaskevich/govalidator,,356,FALSE,"{'url': 'https://api.github.com/licenses/mit', 'name': 'MIT License', 'key': 'mit', 'node_id': 'MDc6TGljZW5zZTEz', 'spdx_id': 'MIT'}",master,Go,2014-06-20T10:45:23Z,2019-07-19T11:51:00Z,2,1,3,460,14,2475,3517,,,6/20/2014 8:45,1855,17,172,5,87,17,171,14,168,USR,986481,681,0,0,0,0,0,0,0,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,63b711a8668d2b9448168980450a26e452a75265,1/27/2018 12:34,https://opencollective.com/govalidator,,,
36765677,RichardLitt/standard-readme,,368,FALSE,"{'spdx_id': 'MIT', 'url': 'https://api.github.com/licenses/mit', 'name': 'MIT License', 'key': 'mit', 'node_id': 'MDc6TGljZW5zZTEz'}",master,Shell,2015-10-16T20:35:17Z,2019-07-01T04:07:09Z,1,8,1,154,3,754,1198,,0,5/12/2016 21:57,1143,7,66,6,57,7,38,4,24,USR,232607,89,0,0,0,0,0,0,0,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,eac2dd978e0c7562b2fa440dc85f1282f965f845,8/2/2018,https://opencollective.com/standard-readme,,,
3237707,discourse/wp-discourse,,99,FALSE,"{'url': 'https://api.github.com/licenses/gpl-3.0', 'name': 'GNU General Public License v3.0', 'key': 'gpl-3.0', 'node_id': 'MDc6TGljZW5zZTk=', 'spdx_id': 'GPL-3.0'}",master,PHP,2013-03-27T06:31:28Z,2019-07-11T04:39:47Z,3,182,2,1836,18,418,448,,,3/27/2013 5:29,2305,13,165,9,152,13,141,5,177,USR,7972877,4703,0,1008,0,0,0,0,0,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,69003be0fe3bca614fb6a99c0501bfee2a9c5522,3/7/2017 16:26,https://opencollective.com/wp-discourse,,,
75476317,alexruperez/MADBike,,1,FALSE,"{'url': 'https://api.github.com/licenses/gpl-3.0', 'name': 'GNU General Public License v3.0', 'key': 'gpl-3.0', 'node_id': 'MDc6TGljZW5zZTk=', 'spdx_id': 'GPL-3.0'}",master,Objective-C,2017-09-24T08:03:07Z,2019-05-13T08:16:01Z,2,11,2,16,2,17,21,,,9/24/2017 8:04,663,2,9,6,7,2,9,0,0,USR,628236774,295452,0,0,0,0,0,0,0,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,6e8523951d57d23114525223614bdca51bc3549a,11/23/2017 22:37,https://opencollective.com/drunkcode,,,
